	ARG0	ARG1	ARG1-DSP	ARG2	ARG3	ARG4	ARG5	ARGA	ARGM-ADJ	ARGM-ADV	ARGM-CAU	ARGM-COM	ARGM-CXN	ARGM-DIR	ARGM-DIS	ARGM-EXT	ARGM-GOL	ARGM-LOC	ARGM-LVB	ARGM-MNR	ARGM-MOD	ARGM-NEG	ARGM-PRD	ARGM-PRP	ARGM-PRR	ARGM-TMP	C-ARG0	C-ARG1	C-ARG1-DSP	C-ARG2	C-ARG3	C-ARGM-CXN	C-ARGM-LOC	C-V	O	R-ARG0	R-ARG1	R-ARG2	R-ARGM-ADV	R-ARGM-DIR	R-ARGM-LOC	R-ARGM-MNR	R-ARGM-TMP	V
ARG0	1440	90	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	1	0	0	0	0	0	0	0	1
ARG1	89	2701	0	68	0	0	0	0	3	1	0	0	0	0	1	2	0	12	0	5	0	1	0	1	0	7	0	0	0	0	0	0	0	0	338	0	6	0	0	0	0	0	0	0
ARG1-DSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ARG2	15	160	0	740	0	0	0	0	6	0	0	0	0	4	0	0	0	17	0	5	0	0	0	9	0	6	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	2
ARG3	1	18	0	32	0	0	0	0	0	1	0	0	0	2	0	0	0	4	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ARG4	0	2	0	33	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ARG5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-ADJ	2	11	0	1	0	0	0	0	152	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	1
ARGM-ADV	1	5	0	13	0	0	0	0	1	247	0	0	0	0	8	3	0	6	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	1
ARGM-CAU	0	0	0	3	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
ARGM-COM	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ARGM-CXN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
ARGM-DIR	0	0	0	16	0	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ARGM-DIS	0	6	0	1	0	0	0	0	0	26	0	0	0	0	109	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ARGM-EXT	0	2	0	0	0	0	0	0	2	11	0	0	0	0	0	73	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ARGM-GOL	2	1	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ARGM-LOC	0	3	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	107	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0
ARGM-LVB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ARGM-MNR	1	13	0	5	0	0	0	0	28	16	0	0	0	0	0	0	0	1	0	51	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
ARGM-MOD	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ARGM-NEG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
ARGM-PRD	0	1	0	6	0	0	0	0	7	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
ARGM-PRP	0	4	0	20	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	3	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ARGM-PRR	0	64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ARGM-TMP	0	5	0	5	0	0	0	0	5	10	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	409	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0
C-ARG0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C-ARG1	0	13	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
C-ARG1-DSP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C-ARG2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
C-ARG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C-ARGM-CXN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
C-ARGM-LOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C-V	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
O	228	441	0	150	0	0	0	0	27	80	0	0	0	4	29	7	0	49	9	10	60	33	0	5	0	86	0	0	0	0	0	0	0	0	85734	9	8	0	0	0	0	0	0	335
R-ARG0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	57	0	0	0	0	0	0	0	0
R-ARG1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	35	0	0	0	0	0	0	0
R-ARG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R-ARGM-ADV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
R-ARGM-DIR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
R-ARGM-LOC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
R-ARGM-MNR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0
R-ARGM-TMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	4721
